date,game,championship,link
2015-10-21 to 2016-01-17,CS:GO,StarSeries & i-League CS:GO Season 1,https://escorenews.com/ru/dota-2/starladder-i-league-starseries-season-1
2016-09-07 to 2016-09-11,CS:GO,StarSeries & i-League CS:GO Season 2,https://liquipedia.net/counterstrike/StarLadder/StarSeries/XIII
2016-12-09 to 2016-12-11,CS:GO,ECS Season 2,https://liquipedia.net/counterstrike/Esports_Championship_Series/Season_2
2017-02-09 to 2017-04-10,CS:GO,StarSeries & i-League CS:GO Season 3,https://escorenews.com/ru/csgo/starseries-i-league-season-3
2017-06-23 to 2017-06-25,CS:GO,ECS Season 3,https://liquipedia.net/counterstrike/Esports_Championship_Series/Season_3
2017-12-15 to 2017-12-17,CS:GO,ECS Season 4,https://liquipedia.net/counterstrike/Esports_Championship_Series/Season_4
2018-02-17 to 2018-02-25,CS:GO,StarSeries & i-League CS:GO Season 4,https://liquipedia.net/counterstrike/StarLadder_i-League/StarSeries/Season_4
2018-05-03 to 2018-05-28,CS:GO,StarSeries & i-League CS:GO Season 5,https://liquipedia.net/counterstrike/StarSeries_i-League/Season_5
2018-10-07 to 2018-10-14,CS:GO,StarSeries & i-League CS:GO Season 6,https://liquipedia.net/counterstrike/StarSeries_i-League/Season_6
2019-03-30 to 2019-04-07,CS:GO,StarSeries & i-League CS:GO Season 7,https://liquipedia.net/counterstrike/StarSeries_i-League/Season_7
2015-06-06 to 2015-06-07,CS:GO,Fragbite Masters Season 4,https://liquipedia.net/counterstrike/Fragbite_Masters/Season_4
2015-12-04 to 2015-12-06,CS:GO,Fragbite Masters Season 5,https://liquipedia.net/counterstrike/Fragbite_Masters/Season_5
2017-10-09 to 2017-12-09,CS:GO,Gfinity Elite Series Season 2,https://www.youtube.com/watch?v=jVjdr4cwPVc&list=PLguUnhuHvKdOM2cZmVhAqhw0EXHZVYUGd
2018-02-05 to 2018-04-02,CS:GO,Bets.net Challenger Series,https://www.youtube.com/watch?v=4qt-X1oq7TQ&list=PLsjGQ4p9azdhIsYgXxJwBzZLkpx3dBYgP
2019-06-06 to 2019-06-09,CS:GO,ECS Season 7,https://www.hltv.org/events/4411/ecs-season-7-finals
2017-04-01,CS:GO,BOT World Championship 2017,https://www.youtube.com/watch?v=yor6xJWovVQ&list=PLu-VF0A-LP_YdHsv3iWbYp8v9VDp0re8C
2017-07-05,CS:GO,BLAST Pro Series: Copenhagen 2017,https://liquipedia.net/counterstrike/BLAST_Pro_Series:_Copenhagen_2017
2017-06-05 to 2017-06-18,CS:GO,PGL Major Kraków 2017,https://www.youtube.com/watch?v=0p8unaDYPDo
2017-08-07 to 2017-08-12,DOTA2,The International 7,https://liquipedia.net/dota2/The_International/2017
2019-11-28 to 2019-12-01,CS:GO,ECS Season 8,https://www.hltv.org/events/4926/ecs-season-8-finals
2017-09-07 to 2017-09-10,CS:GO,ESG Tour Mykonos 2017,https://www.hltv.org/events/3061/esg-tour-mykonos-2017
2017-10-07 to 2017-10-10,CS:GO,ROG MASTERS 2017,https://liquipedia.net/counterstrike/ROG_Masters/2017
2017-01-22 to 2017-01-29,CS:GO,ELEAGUE Major: Atlanta 2017,https://liquipedia.net/counterstrike/ELEAGUE/2017/Major
2017-07-04 to 2017-12-09,CS:GO,Intel Grand Slam Season 1,https://liquipedia.net/counterstrike/Intel/Grand_Slam/1
2018-03-13 to 2018-03-18,CS:GO,WESG 2017 CS,https://liquipedia.net/counterstrike/World_Electronic_Sports_Games/2017
2015-08-15 to 2015-11-08,CS:GO,SLTV ProSeries XIV,https://www.youtube.com/playlist?list=PLDv_QSAbY08RqV-fU35jJOaKsINkSdnjB
2017-04-20 to 2017-04-23,CS:GO,cs_summit 2017,https://www.hltv.org/events/2641/cs-summit-spring-2017
2018-01-12 to 2018-01-28,CS:GO,ELEAGUE Major: Boston 2018,https://liquipedia.net/counterstrike/ELEAGUE/2018/Major
2019-12-24 to 2020-01-05,CS:GO,GG.Bet Winter Cup,https://liquipedia.net/counterstrike/GG.Bet_Winter_Cup
2017-03-30 to 2017-06-11,Hearthstone,SL i-League Hearthstone StarSeries Season 3,https://game-tournaments.com/hearthstone/starladder-i-league-s3/group
2019-09-16 to 2019-11-22,CS:GO,European Champions Cup,https://egamersworld.com/counterstrike/event/european-champions-cup-VyET-75nmw
2018-05-03 to 2018-05-10,PUBG,PUBG StarLadder League 2018 - Week 1,https://liquipedia.net/pubg/PUBG_StarLadder_League/2018/Week_1
2018-05-12 to 2018-05-19,PUBG,PUBG StarLadder League 2018 - Week 2,https://liquipedia.net/pubg/PUBG_StarLadder_League/2018/Week_2
2018-11-29 to 2018-12-02,CS:GO,SuperNova CS Malta,https://www.hltv.org/events/4081/supernova-csgo-malta
2018-05-20 to 2018-05-27,PUBG,PUBG StarLadder League 2018 - Week 3,https://liquipedia.net/pubg/PUBG_StarLadder_League/2018/Week_3
2018-05-28 to 2018-06-05,PUBG,PUBG StarLadder League 2018 - Week 4,https://liquipedia.net/pubg/PUBG_StarLadder_League/2018/Week_4
2019-07-20 to 2019-07-28,PUBG Mobile,PUBG Mobile Club Open - Spring Split,https://liquipedia.net/pubgmobile/PUBG_Mobile_Club_Open/Spring/2019
2017-10-16 to 2017-10-18,CS:GO,TNA Challenge Cup,https://www.twitch.tv/videos/182700133
2018-02-05 to 2018-10-04,CS:GO,Hellcase Cup #7,https://www.hltv.org/events/3540/hellcase-cup-7
2018-09-28 to 2018-09-29,CS:GO,BLAST Pro Series Istanbul 2018,https://www.hltv.org/events/3647/blast-pro-series-istanbul-2018
